--------- beginning of main
03-09 21:00:58.587 17773 18011 W System.err: 	at com.lm.components.network.network.NetWorker.executeGetSync(Unknown Source:117833853)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.lm.components.network.network.INetWorker$DefaultImpls.a(Unknown Source:100794376)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.lm.components.network.network.NetWorker.d(Unknown Source:67305485)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.lm.components.network.NetworkManager.d(Unknown Source:7)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.core.net.NetworkManagerWrapper.g(Unknown Source:50528271)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.a(Unknown Source:33882199)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.execute(Unknown Source:17170548)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNNetworkClient.fetchFromNetwork(Unknown Source:17170482)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.FetchModelListTask.a(Unknown Source:393259)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.ModelConfigArbiter.a(Unknown Source:33947753)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.e(Unknown Source:33816581)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.a(Unknown Source:327693)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelAndEffectTask.g(Unknown Source:33947741)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.algorithm.AlgorithmEffectFetcher.c(Unknown Source:33947799)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.repository.AlgorithmRepository$fetchResourcesByRequirementsAndModelNames$1.a(Unknown Source:262158)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.TaskManager$commit$2.run(Unknown Source:262161)
03-09 21:00:58.587 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNExecutor$execute$1.run(Unknown Source:65540)
03-09 21:00:58.587 17773 18011 W System.err: 	at kotlinx.coroutines.internal.LimitedDispatcher.run(Unknown Source:327691)
03-09 21:00:58.587 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.TaskImpl.run(Unknown Source:196610)
03-09 21:00:58.587 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run(Unknown Source:458805)
03-09 21:00:58.647 17773 18011 W System.err: java.lang.IllegalArgumentException: cdnHostSuffix is not init !!!
03-09 21:00:58.647 17773 18011 W System.err: 	at com.bytedance.ttnet.AppConsts.getCdnHostSuffix(Unknown Source:196629)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.bytedance.ttnet.config.AppConfig.cdnShouldSampling(Unknown Source:17039391)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.lm.components.network.download.DownloadClient.a(Unknown Source:50790561)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.lm.components.network.NetworkManager.a(Unknown Source:33751062)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.vega.core.net.NetworkManagerWrapper.b(Unknown Source:33751057)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.a(Unknown Source:33882165)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.execute(Unknown Source:17170548)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNNetworkClient.fetchFromNetwork(Unknown Source:17170482)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.download.DownloadManager.a(Unknown Source:34078814)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.g(Unknown Source:33947799)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.h(Unknown Source:17170551)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.a(Unknown Source:327697)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelAndEffectTask.g(Unknown Source:33947741)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.algorithm.AlgorithmEffectFetcher.c(Unknown Source:33947799)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.repository.AlgorithmRepository$fetchResourcesByRequirementsAndModelNames$1.a(Unknown Source:262158)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.TaskManager$commit$2.run(Unknown Source:262161)
03-09 21:00:58.647 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNExecutor$execute$1.run(Unknown Source:65540)
03-09 21:00:58.647 17773 18011 W System.err: 	at kotlinx.coroutines.internal.LimitedDispatcher.run(Unknown Source:327691)
03-09 21:00:58.647 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.TaskImpl.run(Unknown Source:196610)
03-09 21:00:58.647 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run(Unknown Source:458805)
03-09 21:00:58.649 17773 18011 D Helios:Network-White: Block request lf16-effectcdn-us.tiktokcdn-us.com
03-09 21:00:58.654 17773 17853 D Helios:Network-TTNet: pop event true for 619863d6-cbd1-4c9a-8711-6664905cb6a7
03-09 21:00:58.679  1362 17652 I keystore2: system/security/keystore2/watchdog/src/lib.rs:319 - Watchdog thread idle -> terminating. Have a great day.
03-09 21:00:58.972 17773 18011 W System.err: java.lang.IllegalArgumentException: cdnHostSuffix is not init !!!
03-09 21:00:58.972 17773 18011 W System.err: 	at com.bytedance.ttnet.AppConsts.getCdnHostSuffix(Unknown Source:196629)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.bytedance.ttnet.config.AppConfig.cdnShouldSampling(Unknown Source:17039391)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.lm.components.network.download.DownloadClient.a(Unknown Source:50790561)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.lm.components.network.NetworkManager.a(Unknown Source:33751062)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.vega.core.net.NetworkManagerWrapper.b(Unknown Source:33751057)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.a(Unknown Source:33882165)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.vega.libeffect.di.EffectManagerModule$CronetNetWorker.execute(Unknown Source:17170548)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNNetworkClient.fetchFromNetwork(Unknown Source:17170482)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.download.DownloadManager.a(Unknown Source:34078814)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.g(Unknown Source:33947799)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.h(Unknown Source:17170551)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelTask.a(Unknown Source:327697)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.972 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.algorithm.FetchModelAndEffectTask.g(Unknown Source:33947741)
03-09 21:00:58.973 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.algorithm.AlgorithmEffectFetcher.c(Unknown Source:33947799)
03-09 21:00:58.973 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.repository.AlgorithmRepository$fetchResourcesByRequirementsAndModelNames$1.a(Unknown Source:262158)
03-09 21:00:58.973 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.BaseTask.run(Unknown Source:262173)
03-09 21:00:58.973 17773 18011 W System.err: 	at com.ss.ugc.effectplatform.task.TaskManager$commit$2.run(Unknown Source:262161)
03-09 21:00:58.973 17773 18011 W System.err: 	at com.ss.android.ugc.effectmanager.knadapt.KNExecutor$execute$1.run(Unknown Source:65540)
03-09 21:00:58.973 17773 18011 W System.err: 	at kotlinx.coroutines.internal.LimitedDispatcher.run(Unknown Source:327691)
03-09 21:00:58.973 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.TaskImpl.run(Unknown Source:196610)
03-09 21:00:58.973 17773 18011 W System.err: 	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run(Unknown Source:458805)
03-09 21:00:58.976 17773 18011 D Helios:Network-White: Block request lf16-effectcdn-us.tiktokcdn-us.com
03-09 21:00:58.981 17773 17853 D Helios:Network-TTNet: pop event true for 034926a3-4a1a-4ddd-9596-ae65f363783d
03-09 21:00:59.047 17773 18011 W System.err: java.lang.IllegalArgumentException: cdnHostSuffix is not init !!!
03-09 21:00:59.048 17773 18011 W System.err: 	at com.bytedance.ttnet.AppConsts.getCdnHostSuffix(Unknown Source:196629)
03-09 21:00:59.048 17773 18011 W System.err: 	at com.bytedance.ttnet.config.AppConfig.cdnShouldSampling(Unknown Source:17039391)
03-09 21:00:59.048 17773 18011 W System.err: 	at com.lm.components.network.download.DownloadClient.a(Unknown Source:50790561)
03-09 21:00:59.048 17773 18011 W System.err: 	at com.lm.components.network.NetworkManager.a(Unknown Source:33751062)
03-09 21:00:59.048 17773 18011 W System.err: 	at com.vega.core.net.NetworkManagerWrapper.b(Unknown Source:33751057)
